CumOil12Month,rowID,Operator,Reservoir,LateralLength_FT,ProppantIntensity_LBSPerFT,FluidIntensity_BBLPerFT
253312.875,1620,XOM,WOLFCAMP B,10309,1705,54
92687.90625,1621,XOM,WOLFCAMP A,10330,1701,59
167283.65625,1622,XOM,WOLFCAMP A,10315,1710,59
111543.3828125,1623,XOM,WOLFCAMP A,10309,1709,54
116646.25,1624,XOM,WOLFCAMP A,10354,1745,56
229306.25,1625,HENRY,SPRABERRY LOWER,10249,1823,52
153720.515625,1626,HENRY,SPRABERRY LOWER,10474,1849,52
148311.21875,1627,HENRY,SPRABERRY LOWER,10830,1838,53
155592.828125,1628,HENRY,SPRABERRY LOWER,10463,1825,52
149847.1875,1629,HENRY,SPRABERRY LOWER,10183,1819,50
147925.9375,1630,HENRY,SPRABERRY LOWER,10000,1848,51
91058.015625,1632,HENRY,SPRABERRY LOWER,10288,1838,50
214154.4375,1641,INDEPENDENCE,SPRABERRY LOWER,10024,2041.5,50
131441,1647,PXD,WOLFCAMP B,9942,2295,44
176879,1660,LPI,WOLFCAMP A,10575,1832,58
164281,1661,LPI,WOLFCAMP A,10603,1838,58
125307.9921875,1717,PXD,WOLFCAMP B,9911,1718,49
112788,1718,PXD,WOLFCAMP B,9908,1736,48
107622,1719,PXD,WOLFCAMP B,9909,1751,48
155593.609375,1721,CRWNQST,SPRABERRY LOWER,9977,2001,51
123875.28125,1722,CRWNQST,SPRABERRY LOWER,10177,1997,49
196307.71875,1723,CRWNQST,SPRABERRY LOWER,10177,1964,49
61966.33984375,1733,HUNT,WOLFCAMP A,10032,1551,38
249600.71875,1734,HUNT,WOLFCAMP B,10032,1551,39
139325.6875,1735,HUNT,SPRABERRY LOWER,10038,1402,38
64476.9140625,1736,HUNT,WOLFCAMP B,10032,1538,39
149315.4375,1737,HUNT,WOLFCAMP A,10032,1557,38
114552.140625,1738,HUNT,WOLFCAMP A,10032,1539,39
327340.90625,1739,HUNT,SPRABERRY LOWER,10038,1403,38
148521.21875,1740,HUNT,WOLFCAMP B,10032,1542,38
253342.90625,1741,HUNT,SPRABERRY LOWER,10038,1403,40
210216,1753,HIBERNIA,WOLFCAMP B,9937,2188,73
135309.625,1765,COP,WOLFCAMP A,10223,2232,60
188676.375,1766,COP,WOLFCAMP B,10271,2174,62
106493,1767,TRP,WOLFCAMP A,10655,2209,60
128997,1768,TRP,WOLFCAMP A,10199,2245,62
174012,1769,TRP,WOLFCAMP A,10635,2192,61
230974.53125,1770,PXD,WOLFCAMP A,10343,1863,47
269893.46875,1771,PXD,WOLFCAMP B,10338,1791,54
172941,1772,PXD,WOLFCAMP B,10352,1738,51
287029.46875,1777,ENDVR,SPRABERRY LOWER,9949,1594,39
131208.390625,1778,ENDVR,WOLFCAMP A,9997,1587,41
236799.03125,1779,ENDVR,WOLFCAMP B,9901,1598,39
177573.1875,1782,FANG,SPRABERRY LOWER,10495,1822,51
280585.8125,1783,FANG,SPRABERRY LOWER,10495,1825,41
76950,1797,DISCOVERY,WOLFCAMP A,9911,2329,44
158330.921875,1799,SABLE,WOLFCAMP A,10374,1647,43
201486.828125,1811,ENDVR,WOLFCAMP B,9931,1986,58
128571,1818,PXD,SPRABERRY LOWER,10508,1696,41
133709,1819,PXD,SPRABERRY LOWER,10467,1665,38
185080.765625,1836,ENDVR,WOLFCAMP B,9926,1614,41
161357.515625,1838,LPI,WOLFCAMP B,12988,1780,55
162811,1842,LPI,WOLFCAMP B,10491,1794,56
157358,1843,LPI,WOLFCAMP B,10672,1815,57
157285,1845,LPI,WOLFCAMP B,9937,1846,58
89185,1846,LPI,WOLFCAMP A,14912,1831,57
83292.9921875,1847,LPI,WOLFCAMP A,14934,1836,58
138298,1848,LPI,WOLFCAMP A,14974,1809,61
83170,1849,LPI,WOLFCAMP A,14934,1844,59
168398,1869,SABLE,WOLFCAMP A,11297,1401,22
234539.984375,1885,OVV,WOLFCAMP A,10001,2037,50
64929.5625,1886,OVV,SPRABERRY LOWER,9921,2060,51
54057.55859375,1889,OVV,SPRABERRY LOWER,9922,2047,50
218339,1892,PXD,WOLFCAMP B,12722,2279,47
169825,1893,PXD,WOLFCAMP B,12722,1679,47
190657,1894,PXD,WOLFCAMP B,12572,2306,48
391849,1895,PXD,WOLFCAMP A,12722,1904,44
358375,1896,PXD,WOLFCAMP A,12722,1923,44
220691,1897,OVV,SPRABERRY LOWER,10479,1526,49
111289,1898,OVV,SPRABERRY LOWER,10562,1536,47
74710,1908,DISCOVERY,WOLFCAMP A,12986,1932,35
98943.0078125,1909,DISCOVERY,WOLFCAMP B,12836,2524,48
54866,1910,DISCOVERY,WOLFCAMP A,12596,1941,35
141346.84375,1911,SABLE,WOLFCAMP B,11456,32,1
118536.1484375,1912,SABLE,WOLFCAMP B,11402,33,1
